program to calculate the molecules that have jumped

program to calculate the jump time distribution

calculate XYZ_limit
Z_UP: 20.8211
Z_DOWN: 11.2711
X_UP: 69.4407
X_DOWN: 17.4407
Y_UP: 68.9517
Y_DOWN: 16.9517
total water:  7312

water calculate and id:        1    2800
program to calculate H Bond distribution during transition

2998    715008
2998    734688
2998    773608
2998    798908
2998    804908
2998    810548
2998    813328
2998    828268
2998    846328
2998    872168
2998    894048
2998    915508
2998    930788
2998    977228
2998    995568
2998    995808
3025    778608
3025    809668
3031    457380
3031    476760
3031    485188
3031    522568
3031    523048
3031    536488
3031    625868
3031    626268
3031    644968
3031    669028
3031    671568
3031    698988
3031    732548
3031    800408
3031    800568
3058    641888
3058    685568
3058    777848
3085    428960
3085    446560
3085    446920
3085    450180
3085    454960
3085    473540
3085    478240
3085    496088
3085    509208
3085    545908
3085    572088
3085    607348
3085    609668
3085    734448
3085    742188
3085    755488
3115    740008
3115    740748
3115    857908
3115    884148
3115    884648
3115    889228
3115    898288
3115    919868
3115    931768
3115    937688
3115    939908
3115    948848
3127    597008
3127    670588
3127    694228
3127    717288
3127    763988
3127    780808
3127    799028
3127    811148
3127    864828
3127    887768
3130    378480
3130    380140
3130    411360
3130    417840
3130    426640
3130    490248
3130    598788
3130    599648
3130    622368
3130    637848
3130    647448
3130    652028
3130    655828
3130    657808
3130    694188
3151    920288
3151    931568
3151    937728
3151    939588
3151    958548
3151    959948
3151    972828
3154    491868
3154    544828
3154    546228
3154    555468
3154    556788
3154    558768
3154    559088
3154    618448
3154    621488
3154    650988
3154    670448
3154    700908
3154    723608
3154    725088
3154    734648
3154    773388
3154    809068
3154    810188
3169    844888
3169    847368
3169    848608
3169    849588
3172    374240
3172    404320
3178    697528
3178    698848
3196    647588
3196    649588
3199    495688
3199    496088
3199    512008
3202    998908
3223    385340
3223    412780
3223    494528
3223    509268
3223    601228
3223    615888
3223    617888
3223    657988
3223    791928
3223    856428
3223    860228
3223    866848
3223    880248
3223    906728
3223    920488
3223    945588
3223    972028
3223    972168
3223    985408
3250    373100
3250    398260
3250    398820
3250    450260
3250    453600
3250    580448
3250    622268
3250    624568
3250    625488
3250    628248
3250    658188
3250    659668
3250    669148
3250    694728
3250    743208
3250    744128
3250    744928
3253    467320
3253    469160
3253    561308
3253    633388
3253    671648
3253    678988
3253    701308
3253    708708
3253    709188
3253    740968
3253    749948
3253    754208
3253    757748
3253    758008
3253    800648
3253    815668
3253    816048
3265    374920
3265    435300
3268    447300
3274    924348
3274    927888
3274    928728
3274    991188
3277    370760
3301    904348
3301    916688
3301    920108
3301    921168
3301    926428
3301    927268
3301    929108
3301    931128
3313    833988
3313    835348
3313    981768
3313    993688
3322    591588
3334    692128
3334    915268
3334    957668
3334    965828
3337    869088
3337    885068
3337    897148
3337    903928
3358    790748
3358    791128
3358    796068
3358    797648
3358    799608
3358    801368
3358    802048
3358    802568
3358    802688
3358    803388
3358    805588
3358    807648
3358    808828
3358    811448
3358    813808
3358    815388
3358    818688
3358    823628
3358    871288
3358    881008
3358    903388
3358    908548
3358    950228
3358    974928
3358    993628
3370    763688
3370    765808
3370    767448
3370    768608
3370    775108
3370    783228
3370    788768
3370    793208
3370    822308
3370    833468
3370    847808
3370    886988
3370    888588
3370    917228
3370    920248
3370    927948
3370    931128
3370    937728
3370    940268
3370    943488
3370    943808
3370    947188
3370    949128
3370    955648
3370    981528
3370    982268
3373    377280
3373    777668
3373    793568
3373    796228
3373    811048
3388    830708
3397    679528
3397    680328
3397    680548
3397    683728
3397    711188
3397    724048
3397    725768
3397    726328
3397    739608
3397    741028
3397    744268
3397    761468
3397    762208
3397    762848
3397    764148
3397    769328
3397    769888
3397    788088
3397    808388
3397    809288
3397    809788
3397    810568
3397    810768
3397    810968
3397    811368
3397    817408
3397    826888
3397    836588
3397    836948
3397    853768
3397    859588
3397    860268
3397    861488
3397    861888
3397    862808
3397    863388
3397    863968
3397    908308
3403    928068
3415    501848
3415    518648
3433    823448
3457    676348
3463    375640
3463    405020
3463    405340
3463    407320
3463    469580
3463    523928
3463    545568
3463    588488
3463    600068
3463    611368
3463    614168
3463    619108
3463    650068
3469    708488
3472    937128
3472    946748
3472    957908
3472    982288
3472    993688
3478    508048
3478    581948
3478    582228
3478    584888
3478    585228
3478    591948
3478    615128
3478    659248
3478    668948
3478    702768
3478    703048
3478    712088
3478    712208
3478    715048
3478    720008
3478    753788
3478    757288
3487    842988
3487    853688
3487    855308
3487    861648
3487    863608
3487    865228
3487    870008
3487    871828
3487    873768
3487    874768
3487    880828
3487    883648
3487    889688
3490    752468
3490    771368
3490    771848
3490    779628
3490    782408
3490    798508
3490    880288
3490    887788
3490    909728
3514    456120
3535    487228
3535    489608
3535    514108
3535    612268
3538    416540
3538    513288
3538    517908
3538    519168
3538    525468
3538    532568
3538    544468
3538    615388
3538    620708
3538    631888
3541    553468
3541    556468
3541    556928
3541    582368
3541    610508
3541    624388
3541    624588
3541    647108
3541    649108
3541    726508
3541    739468
3541    741608
3541    818928
3541    824908
3541    836328
3541    866588
3541    866868
3541    868868
3541    911448
3541    927208
3544    545088
3544    587588
3544    588628
3544    614108
3544    625068
3544    625268
3553    896488
3553    927688
3553    994588
3559    458560
3559    466540
3559    472280
3559    474120
3559    561428
3559    562708
3559    563708
3559    579188
3565    440600
3565    441080
3565    459000
3565    506548
3565    519988
3565    521048
3565    527228
3565    527508
3565    537968
3565    618868
3565    641588
3565    642628
3565    644088
3565    661048
3565    661808
3565    688448
3565    712508
3565    714288
3565    726648
3565    727228
3565    744308
3571    521108
3571    529588
3571    585888
3571    635368
3571    635968
3571    641128
3571    663548
3571    672768
3571    673448
3571    674088
3571    676728
3571    683148
3571    683248
3571    683548
3571    690428
3571    690648
3574    484028
3574    485848
3574    488528
3574    540448
3574    544548
3574    634588
3574    636888
3574    641968
3574    663008
3574    663688
3574    668328
3574    668448
3574    676768
3574    718708
3574    738768
3574    744068
3574    771088
3574    781368
3574    782908
3574    783108
3574    784988
3574    786008
3574    807768
3574    812468
3574    839308
3574    868308
3574    890288
3574    906148
3574    921768
3583    847868
3583    897788
3583    904388
3583    913148
3583    975548
3583    975688
3583    981568
3583    982468
3583    986308
3586    805848
3586    811148
3586    816448
3586    853608
3586    868648
3586    880028
3586    880668
3586    883188
3586    903948
3586    943628
3586    954768
3586    979368
3586    979908
3586    988248
3586    998968
3595    548788
3595    559728
3595    561028
3595    561468
3595    615188
3595    636348
3595    720288
3595    739168
3595    739328
3595    746348
3595    778848
3595    822428
3595    824228
3595    829068
3595    868288
3595    871228
3595    871668
3595    938868
3595    974088
3595    977368
3595    978428
3601    473780
3601    474200
3601    474500
3601    479260
3601    482088
3601    519208
3601    523728
3601    530228
3601    530468
3601    583688
3601    605308
3601    606648
3601    612608
3601    616848
3601    636608
3601    662408
3601    669108
3601    709348
3601    719168
3601    723048
3601    741268
3601    745768
3601    747168
3601    774068
3601    790348
3601    843548
3601    845988
3604    965128
3604    989468
3610    447060
3610    460080
3610    465160
3610    465260
3610    531708
3610    575308
3610    575908
3610    580388
3610    580548
3610    584448
3610    627148
3610    630908
3610    662508
3610    663748
3610    678808
3610    695948
3610    711768
3610    739288
3610    771408
3610    771588
3610    829968
3610    830608
3610    831408
3610    849148
3622    981268
3622    988528
3634    518408
3634    526068
3634    527388
3634    529008
3634    544448
3634    655888
3634    660668
3634    697508
3634    720368
3634    720888
3634    727128
3634    775548
3634    775808
3634    783708
3634    788748
3634    788968
3634    798088
3649    606708
3649    608348
3664    998148
3667    439920
3667    519368
3667    520048
3667    550948
3667    567668
3667    765068
3667    767568
3682    429140
3682    476760
3682    491468
3685    589868
3700    683228
3700    731148
3700    739188
3700    790468
3700    796808
3700    797528
3700    806188
3700    829788
3700    843928
3700    846008
3700    846668
3700    862528
3700    882488
3700    886148
3700    894728
3700    897668
3700    899508
3700    899848
3700    934388
3700    941968
3700    942128
3700    949608
3700    952908
3700    977468
3721    516488
3721    532988
3721    556588
3721    579888
3721    715648
3721    716228
3721    749128
3721    751308
3721    751508
3724    937948
3724    957308
3748    903328
3748    904408
3757    395600
3775    391280
3775    414300
3775    425140
3775    449780
3787    414080
3787    472060
3793    855228
3793    990068
3799    631768
3799    637348
3799    638768
3799    642388
3799    675468
3823    477800
3823    478020
